time,open,high,low,close,tick_volume,tick_volume,spread
2025-10-24 15:35:00+00:00,4117.69,4119.6,4111.74,4112.7,3077,0,1
2025-10-24 15:40:00+00:00,4112.67,4112.67,4098.69,4105.88,3166,0,10
2025-10-24 15:45:00+00:00,4105.92,4109.22,4098.06,4106.06,3215,0,2
2025-10-24 15:50:00+00:00,4106.06,4108.99,4098.79,4108.86,2926,0,32
2025-10-24 15:55:00+00:00,4108.82,4109.92,4101.77,4107.06,2283,0,16
2025-10-24 16:00:00+00:00,4106.89,4109.39,4102.22,4107.8,2994,0,1
2025-10-24 16:05:00+00:00,4107.8,4118.08,4106.58,4114.88,2734,0,13
2025-10-24 16:10:00+00:00,4114.98,4135.07,4114.35,4132.33,3193,0,1
2025-10-24 16:15:00+00:00,4132.32,4134.99,4124.37,4126.81,2788,0,7
2025-10-24 16:20:00+00:00,4126.83,4131.29,4123.17,4126.34,2540,0,12
2025-10-24 16:25:00+00:00,4126.54,4126.88,4119.74,4123.86,2343,0,1
2025-10-24 16:30:00+00:00,4124.03,4128.24,4122.29,4126.65,2229,0,16
2025-10-24 16:35:00+00:00,4126.82,4128.59,4121.21,4126.51,1916,0,6
2025-10-24 16:40:00+00:00,4126.5,4131.5,4126.08,4129.53,2125,0,12
2025-10-24 16:45:00+00:00,4129.53,4131.22,4120.91,4122.97,2450,0,1
2025-10-24 16:50:00+00:00,4122.98,4124.05,4112.38,4119.58,2322,0,1
2025-10-24 16:55:00+00:00,4119.63,4122.1,4116.07,4117.61,2385,0,1
2025-10-24 17:00:00+00:00,4117.63,4120.72,4115.13,4120.03,2049,0,12
2025-10-24 17:05:00+00:00,4120.0,4123.16,4116.61,4120.8,1945,0,1
2025-10-24 17:10:00+00:00,4120.79,4123.57,4118.68,4118.88,1852,0,8
2025-10-24 17:15:00+00:00,4118.93,4120.12,4113.41,4118.83,2059,0,15
2025-10-24 17:20:00+00:00,4118.84,4128.84,4118.61,4127.33,1961,0,18
2025-10-24 17:25:00+00:00,4127.32,4128.34,4124.39,4125.67,1578,0,1
2025-10-24 17:30:00+00:00,4125.99,4129.31,4125.17,4127.51,1645,0,12
2025-10-24 17:35:00+00:00,4127.42,4130.14,4123.42,4129.45,1528,0,13
2025-10-24 17:40:00+00:00,4129.44,4130.46,4124.86,4126.89,1704,0,13
2025-10-24 17:45:00+00:00,4126.88,4129.32,4120.87,4125.69,2067,0,1
2025-10-24 17:50:00+00:00,4125.73,4131.85,4124.57,4128.59,1848,0,11
2025-10-24 17:55:00+00:00,4128.51,4131.62,4126.66,4130.62,1822,0,1
2025-10-24 18:00:00+00:00,4130.67,4132.24,4127.26,4128.83,1914,0,2
2025-10-24 18:05:00+00:00,4128.81,4136.72,4128.66,4132.5,1947,0,3
2025-10-24 18:10:00+00:00,4132.65,4134.27,4129.74,4133.12,1948,0,10
2025-10-24 18:15:00+00:00,4133.06,4134.3,4130.16,4131.64,1752,0,11
2025-10-24 18:20:00+00:00,4131.55,4135.98,4131.45,4134.94,1795,0,13
